Question,Answer
What is ICTS learning analytics?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
Is this a degree program?,This is a short term training programme. It is a part time certification program for 3 months with 50 hours/credits in Business Analytics.
Is the certification given by any industry or academic institution?,Certification is given by ICTS Pvt. Ltd. and course content has been designed by professors from premium academic institutions and experienced technological leads.
Is this completely theoretical or some hands on sessions on tools are there?,Some hands on training will be available. However most of the classes will be discussion oriented and case study driven.
Is this an online programme or classroom contact programme?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
Are placements provided after completion of program?,"This is a training programme for already working executives and students from engineering, science and management disciplines. Therefore, we do not provide placements."
Are there financing facilities available?,No. We do not have any tie-ups with banking or financial services organisations.
Will study material be provided?,A lot of study material will be provided to all participation. You would be expected to go through the material for developing in-depth competencies in the domains.
Who will teach in the programme?,Faculty members having experience in teaching at IIT and IIM  will deliver over 90% of the lectures. Some lectures may be provided by Industry Speakers and Subject Matter Experts.
What is the credit equivalence of the programme?,There is no credit equivalence of this training programme. This is a management development programme and so credit transfer is not possible.
What is the eligibility criteria?,Candidate should be at least a high school graduate having interest in mathematics and english as this course prunes the analytical skills of the candidate.
What is the selection process?,"Candidate has to pass an online test in order to get selected for the program. Since number of seats are limited, we check the academic and work experience background to identify candidates and also majorly the score in the online test given by the candidate."
How many seats are there?,Normally we prefer a batch size of 40-45 participants. However we do not intend to fill up the complete batch if we do not get the right candidates for the programme.
What can research scholars gain?,We provide support for live projects that candidate can present in conferences and research journals.
What are the prerequisites for this online course?,You must own a mobile handsets and preferably a laptop. The course contents is also available on both android and web platform.
How is this courses different from others?,This is a one of its kind course on business analytics that provides excellent offline support. Moreover there is a track record of excellent placement of our previous students.
What are plus points of this course?,This is a one of its kind course on business analytics that provides excellent offline support. Moreover there is a track record of excellent placement of our previous students.
Why should LMS be used for business analytics?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
What is lms?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
Who gives the certificate?,Certification is given by ICTS Pvt. Ltd. and course content has been designed by professors from premium academic institutions and experienced technological leads.
What is the role of LMS?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
What courses are available?,"Courses on business analytics, machine learning, natural language processing are available."
What is the fee structure?,Please visit http://www.icts-learninganalytics.com for more information.
How much will this course cost me?,Please visit http://www.icts-learninganalytics.com for more information.
What is the duration of this course?,This is a short term training programme. It is a part time certification program for 3 months with 50 hours/credits in Business Analytics.
Is there anything else excluding Business Analytics?,"Courses on business analytics, machine learning, natural language processing are available."
What are the limitation of this course?,We are working towards improving our study material.
Is there any discount?,Currently no discounts are available.
Thank you,You are welcome.
What is the duration of each video?,Each video lecture is of duration of 20 minutes to up to 1 hour long.
Will there any specific time to watch video?,You can watch the video lectures at your own convenience during the course of the program.
Good morning,Good morning
Good bye,Good bye
What are the courses?,"Courses on business analytics, machine learning, natural language processing are available."
What are the benefits?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
Who provides the lectures?,Faculty members having experience in teaching at IIT and IIM  will deliver over 90% of the lectures. Some lectures may be provided by Industry Speakers and Subject Matter Experts.
Are there any assignments with each video?,"Yes, there will be assignments with each course and videos."
Is this a certification course?,It is a part time certification program for 3 months with 50 hours/credits in Business Analytics.
Who can apply here?,"This is a training programme for already working executives and students from engineering, science and management disciplines."
How will I benefit from this course?,This is a one of its kind course on business analytics that provides excellent offline support. Moreover there is a track record of excellent placement of our previous students.
Are there capstone projects in this programme?,We provide support for live projects that candidate can present in conferences and research journals.
What level of personal interaction will be there in the course?,Some hands on training will be available. However most of the classes will be discussion oriented and case study driven.
Will I be tutored /mentored by an expert with one to one interaction?,"It is a modern, smart and focussed virtual environment to help learners and students. It is an online program that mimics classroom teaching using direct recording from classroom with an all time online support. It is a highly engaging program that bridges the gap between the classroom and online tutorials. Moreover live discussion sessions are available every weekend. Please visit http://www.icts-learninganalytics.com for more information."
How many videos are there?,Please visit http://www.icts-learninganalytics.com for more information.
How many articles will be provided?,Please visit http://www.icts-learninganalytics.com for more information.
How many presentations / videos will be available?,Please visit http://www.icts-learninganalytics.com for more information.
Where all have past participants joined?,Please visit http://www.icts-learninganalytics.com for more information.
How can I apply to the courses?,Please visit http://www.icts-learninganalytics.com for more information.